appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
269310,Infectonator: Survivors,Toge Productions,Toge Productions,,742,361,0,"50,000 .. 100,000",174,0,171,0,999,999,0,2
366530,Esenthel Engine,Esenthel,Rockstar Games,,31,22,0,"50,000 .. 100,000",56,0,105,0,0,0,0,0
1089080,Superstar Hero,Dream of Omnimaga,Dream of Omnimaga,,15,9,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1282600,Mayhem in Single Valley: Confessions,Fluxscopic Ltd.,tinyBuild,,79,11,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
889740,The Oni Sellsword,Eric Baskin,Eric Baskin,,61,5,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1068980,It Runs Red,"Ross Winters, Jesse McNamee, Brianne Ball, Roberto Uribe, Jonathan Tope, Connor Breeding, Ricardo Maldonado, Alexander Powell, Felipe Sanchez, Frances Rosa-Martir, Robert Dixon, Dominic Mercado, Kevin Parker",Active Sun Games,,9,6,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
461970,Skyreach,Rainbow Goats Studio,Rainbow Goats Studio,,82,111,0,"50,000 .. 100,000",104,0,197,0,0,0,0,1
2572340,Franzen,Scumhead,Scumhead,,135,3,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
487330,Totally Unbalanced,Isojumper,Axel Sonic,,172,32,0,"50,000 .. 100,000",236,0,303,0,0,0,0,0
890920,Glitch,ReallyBadOldGames,ReallyBadOldGamesSorry,,197,177,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
262750,GoD Factory: Wingmen,Nine Dots Studio,Nine Dots Publishing,,201,97,0,"50,000 .. 100,000",103,0,136,0,999,999,0,0
1058370,Bone Voyage,Team Cobblestone,Breda University of Applied Sciences,,222,122,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
427910,Zavix Tower,Batholith Entertainment,Indie Voyage,,250,93,0,"50,000 .. 100,000",0,0,0,0,999,999,0,0
2460980,Tide—1927—,咕咕制作组,咕咕制作组,,318,106,0,"50,000 .. 100,000",0,0,0,0,299,299,0,0
734550,Wheel Riders Online OBT,Raum Studio,Raum Studio,,70,187,0,"50,000 .. 100,000",45,0,66,0,0,0,0,0
