appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,owners_min,owners_max,owners_median,release_date,genres,is_free,metacritic_score,dlc_count
1677740,Stumble Guys,Scopely,Scopely,,108841,19170,0,"5,000,000 .. 10,000,000",591,206,119,71,0,0,0,2928,5000000,10000000,7500000.0,"7 Oct, 2021","Action, Casual, Indie, Massively Multiplayer, Racing, Free To Play",True,,0
109600,Neverwinter,Cryptic Studios,Arc Games,,29947,8638,0,"5,000,000 .. 10,000,000",3365,28,385,28,0,0,0,665,5000000,10000000,7500000.0,"5 Dec, 2013","Action, Adventure, Massively Multiplayer, RPG, Free To Play",True,74,0
397900,Business Tour - Board Game with Online Multiplayer,8Floor,8Floor,,46567,30205,0,"5,000,000 .. 10,000,000",653,165,300,210,0,0,0,809,5000000,10000000,7500000.0,"27 Jul, 2017","Adventure, Casual, Indie, Massively Multiplayer, Simulation, Strategy, Free To Play",True,,10
698780,Doki Doki Literature Club!,Team Salvato,Team Salvato,,203247,7470,0,"5,000,000 .. 10,000,000",726,139,166,273,0,0,0,427,5000000,10000000,7500000.0,"6 Oct, 2017","Casual, Free To Play, Indie",True,,1
766570,Russian Fishing 4,FishSoft LLC,FishSoft LLC,,39598,33887,0,"5,000,000 .. 10,000,000",7513,2072,103,537,0,0,0,14950,5000000,10000000,7500000.0,"10 Nov, 2021","Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free To Play",True,,2
294100,RimWorld,Ludeon Studios,Ludeon Studios,,206216,4301,0,"5,000,000 .. 10,000,000",13777,1499,3595,509,3499,3499,0,19211,5000000,10000000,7500000.0,"17 Oct, 2018","Indie, Simulation, Strategy",False,87,10
273110,Counter-Strike Nexon: Studio,"Valve, NEXON",NEXON,,28373,14329,0,"5,000,000 .. 10,000,000",2872,739,92,1423,0,0,0,369,5000000,10000000,7500000.0,"7 Oct, 2014","Action, Casual, Indie, Massively Multiplayer, Free To Play",True,,2
868270,The Cycle: Frontier,YAGER,YAGER,,28893,16529,0,"5,000,000 .. 10,000,000",911,0,110,0,0,0,0,2,5000000,10000000,7500000.0,"8 Jun, 2022","Action, Free To Play, Massively Multiplayer",False,,0
863550,HITMAN 2,IO Interactive A/S,IO Interactive A/S,,68165,6778,0,"5,000,000 .. 10,000,000",870,86,204,86,0,0,0,187,5000000,10000000,7500000.0,"13 Nov, 2018",Action,False,82,0
555570,Infestation: The New Z,Fredaikis AB,OP Productions LLC,,18200,15615,0,"5,000,000 .. 10,000,000",1398,0,85,0,0,0,0,70,5000000,10000000,7500000.0,"22 Nov, 2016","Action, Indie, Massively Multiplayer, RPG, Free To Play",True,,0
2669320,EA SPORTS FC 25,"EA Canada, EA Romania",Electronic Arts,,37253,37543,0,"5,000,000 .. 10,000,000",9692,521,4722,258,6999,6999,0,42032,5000000,10000000,7500000.0,"26 Sep, 2024","Simulation, Sports",False,,1
518790,theHunter: Call of the Wild,Expansive Worlds,Avalanche Studios,,157641,19969,0,"5,000,000 .. 10,000,000",2191,185,302,146,1999,1999,0,2207,5000000,10000000,7500000.0,"16 Feb, 2017","Adventure, Simulation, Sports",False,,55
346900,AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,,51968,7198,0,"5,000,000 .. 10,000,000",3100,3765,326,4084,0,0,0,1109,5000000,10000000,7500000.0,"30 Mar, 2015","Casual, Indie, Free To Play",True,,1
208090,Loadout,Edge of Reality,Edge of Reality,,34218,5094,0,"5,000,000 .. 10,000,000",311,0,133,0,0,0,0,1,5000000,10000000,7500000.0,"31 Jan, 2014","Action, Free To Play, Indie",False,72,5
2630,Call of Duty 2,Infinity Ward,Activision,,9804,670,0,"5,000,000 .. 10,000,000",1016,670,329,670,1999,1999,0,162,5000000,10000000,7500000.0,"13 Oct, 2006",Action,False,86,0
113400,APB Reloaded,Little Orbit,Little Orbit,,23693,13599,0,"5,000,000 .. 10,000,000",2014,93,163,93,0,0,0,111,5000000,10000000,7500000.0,"6 Dec, 2011","Action, Massively Multiplayer, Free To Play",True,,0
380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,57004,8695,0,"5,000,000 .. 10,000,000",1133,735,70,1015,0,0,0,2781,5000000,10000000,7500000.0,"28 Aug, 2017","Massively Multiplayer, Simulation, Sports, Free To Play",True,,64
286690,Metro 2033 Redux,4A Games,Deep Silver,,101543,9424,0,"5,000,000 .. 10,000,000",969,101,341,137,1999,1999,0,1208,5000000,10000000,7500000.0,"27 Aug, 2014",Action,False,,0
223750,DCS World Steam Edition,Eagle Dynamics SA,Eagle Dynamics SA,,31661,5528,0,"5,000,000 .. 10,000,000",903,169,54,269,0,0,0,636,5000000,10000000,7500000.0,"2 Aug, 2013","Simulation, Free To Play",True,,166
386180,Crossout,Targem Games,Gaijin Network Ltd,,48219,15920,0,"5,000,000 .. 10,000,000",3652,1764,300,590,0,0,0,2231,5000000,10000000,7500000.0,"26 Jul, 2017","Action, Adventure, Massively Multiplayer, Racing, Free To Play",True,,36
1721470,Poppy Playtime,Mob Entertainment,Mob Entertainment,,84113,14801,0,"5,000,000 .. 10,000,000",1793,1638,60,320,0,0,0,588,5000000,10000000,7500000.0,"12 Oct, 2021","Action, Adventure, Indie",True,,3
960090,Bloons TD 6,Ninja Kiwi,Ninja Kiwi,,344269,9691,0,"2,000,000 .. 5,000,000",3731,177,1348,46,1399,1399,0,7489,2000000,5000000,3500000.0,"17 Dec, 2018",Strategy,False,,1
761890,Albion Online,Sandbox Interactive GmbH,Sandbox Interactive GmbH,,65583,17491,0,"2,000,000 .. 5,000,000",5008,1625,213,673,0,0,0,8184,2000000,5000000,3500000.0,"16 May, 2018","Massively Multiplayer, RPG, Free To Play",True,,0
